"","Tweet","Time Stamp","Twitter Handle","Latitude","Longitude","Topic"
"98","RT your own stories &amp; favor Bernie stuff with #HeWinsWeWin #FeministsDontFrack Bernie is only one who can beat Trump https://t.co/zMjnIHU5H0","Thu Feb 25 19:34:00 +0000 2016","NizamovRus",40.8503475,"-73.8494415","feminism"
"99","RT your own stories &amp; favor Bernie stuff with #HeWinsWeWin #FeministsDontFrack Bernie is only one who can beat Trump https://t.co/E1usiPfKhe","Thu Feb 25 19:35:26 +0000 2016","NizamovRus",40.8503475,"-73.8494415","feminism"
"100","Ugly   rodent looking ass  don't know how to style his hair  sexist asshole****** 😌@realDonaldTrump  https://t.co/pPWk13vmll","Thu Feb 25 22:50:36 +0000 2016","Stunna_Desire",34.583629,"-118.125196","feminism"
"101","@pattymo @MattScalici @realDonaldTrump still racism.","Fri Feb 26 00:58:06 +0000 2016","ChrisPhigNewton",40.339376,"-111.7128615","intersectionality"
"102","Does Donald Trump not understand our country was made up of a diverse group of illegal immigrants?","Fri Feb 26 01:49:35 +0000 2016","tabineumann",40.524775,"-88.9915295","intersectionality"
"103","@RockTheVote @realDonaldTrump @Telemundo Read the record. Diversity goes on the left. https://t.co/tIK4i4424d","Fri Feb 26 02:23:04 +0000 2016","JazzDad55",39.7393005,"-89.2665075","intersectionality"
"104","Hey  @realDonaldTrump #PlannedParenthood does NOT help people with cancer 🙄","Fri Feb 26 02:31:54 +0000 2016","amysmith70",41.67878,"-85.0482035","reproductive_rights"
"105","@realDonaldTrump He's prolife  he's just not pro lives that are being saved by cervical/breast cancer screenings @PPFA DEFUND? #GOPDebate","Fri Feb 26 02:46:31 +0000 2016","TalkAboutSexEd",42.305097,"-71.4356815","reproductive_rights"
"106",".@tedcruz -@realDonaldTrump thinks #PlannedParenthood is wonderful #GOPDebate https://t.co/7QjC5Qfmqc","Fri Feb 26 02:53:36 +0000 2016","powers_dawn",41.9382285,"-93.389864","reproductive_rights"
"107","@megynkelly  -@realDonaldTrump thinks #PlannedParenthood is wonderful #GOPDebate","Fri Feb 26 02:54:20 +0000 2016","powers_dawn",41.9382285,"-93.389864","reproductive_rights"
"108","#trump says #bill and #Hillary had a bad weekend after she called him sexist. Oy. #GOPDebate","Fri Feb 26 03:03:13 +0000 2016","RamitMastiHFSC",29.838495,"-95.4464865","feminism"
"109","@LisaMaret @TeaPartyWDC @realDonaldTrump he didn't say that. He wants to dump it &amp; then keep pre-existing Doesnt want PP portion of abortion","Fri Feb 26 12:19:43 +0000 2016","anabomb25",28.374332,"-81.34974","reproductive_rights"
"110","Trump praised #PlannedParenthood  https://t.co/2uL3r9KVKc","Fri Feb 26 12:36:51 +0000 2016","lordtiberius",29.838495,"-95.4464865","reproductive_rights"
"111","Liar  Hires illegals  misogynist  bully  Hillary supporter and  a bad speller. Say No Trump!  https://t.co/2PFLdqfAO0","Fri Feb 26 14:06:28 +0000 2016","DLGJ_A5",39.460648,"-77.985267","men"
"112","@realDonaldTrump @MailOnline: Algerian sex attacker who raped a 25-yr-old German student is jailed for eight years https://t.co/fvH1SbrtUZ'","Fri Feb 26 16:39:25 +0000 2016","RKMCPHERSON2014",40.663025,"-73.610279","violence_against_women"
"113","@realDonaldTrump Mit Romney is full of sour grapes! https://t.co/yME91x5Wxo","Fri Feb 26 17:27:56 +0000 2016","BenningtonGal",43.8717565,"-72.4511725","violence_against_women"
"114","@BretBaier https://t.co/LtPnMsyKsT  His SIS a fed Judge supports partialBirth abortion Trump supports nominating a SCOTUS lib sis like Judge","Fri Feb 26 19:22:09 +0000 2016","quickdonald8724",44.9415155,"-93.1056485","reproductive_rights"
"115","Media fails public giving @realDonaldTrump racism &amp; bigotry a pass @foxandfriends @mattklewis @jpaceDC @MaeveReston @thehill @politico","Fri Feb 26 23:29:15 +0000 2016","robert158",38.898603,"-77.0143985","intersectionality"
"116","@MattMackowiak you're crazy. @GovChristie said abortion form of self defense  @realDonaldTrump loves PPH. Not surprised at all","Sat Feb 27 02:01:34 +0000 2016","DeanOuellette",33.2824505,"-111.8808735","reproductive_rights"
"117","@KathyPica1 @Desireeemoore so why does @realDonaldTrump praise #PlannedParenthood who killed more Americans than all the wars combined? wtf!","Sat Feb 27 04:11:30 +0000 2016","lordtiberius",29.838495,"-95.4464865","reproductive_rights"
"118","@PPact @ChrisChristie is a pos that needs 2 go away; 2 endorse such racist sexist demagogue as @realDonaldTrump is joke; $$ is involved","Sat Feb 27 07:49:46 +0000 2016","raquelmperazzo",40.787365,"-74.0108855","feminism"
