"","Tweet","Time Stamp","Twitter Handle","Latitude","Longitude","Topic"
"57","i'm tired of the idea that millennials don't like Hillary because we're misogynistic. We don't like Hillary because she's a liar","Tue Feb 09 02:08:25 +0000 2016","qpdwblf",42.3136695,"-71.0887125","men"
"58","@billclinton If electing @HillaryClinton is a win for women  we must be post-racial in the USA  no? haw haw haw","Tue Feb 09 02:48:18 +0000 2016","ColonelTamar",39.284713,"-76.620482","intersectionality"
"59","#HillaryClinton betrayed #ElizabethWarren to satisfy her #WallStreet cronies-so much for Hillary's #feminism~! https://t.co/WYzQ9SExYm","Tue Feb 09 02:51:13 +0000 2016","paulinepark",40.6708795,"-73.8311875","feminism"
"60","@AIIAmericanGirI @kjdrennen Its only sexist if a non-Hillary supporter or man says it  doe. Right?","Tue Feb 09 04:37:04 +0000 2016","GotKidsNoPeace",40.8503475,"-73.8494415","feminism"
"61","@goprapebuster @Donna_West @sherrilee7 @HillaryClinton He's disengenuous and  tho good intentioned   out of element.","Tue Feb 09 05:28:36 +0000 2016","amantedelibros",30.3233455,"-97.754724","violence_against_women"
"62","@amantedelibros @goprapebuster @Donna_West @sherrilee7 @HillaryClinton The guys been in office since 1972. He's learned a trick or 2.","Tue Feb 09 05:33:44 +0000 2016","the_devik",45.3611835,"-122.837661","violence_against_women"
"63","Young #Feminists Do Get It. So Why Does Hillary Think We Don't? #BernieSanders #FeelTheBern https://t.co/3mVy5JMqrx","Tue Feb 09 06:53:37 +0000 2016","THEOMARSHALLcom",34.022688,"-118.48042","feminism"
"64","@Morning_Joe  I agree it's weak and sexist to say vote for Hillary because she's a woman. Vote because u like her msg. Don't guilt our gen.","Tue Feb 09 12:35:57 +0000 2016","spydercharlotte",40.780709,"-73.9685415","feminism"
"65","We will make 'HERSTORY'with @HillaryClinton #HillaryClinton #NewHampshire #herstory #NewHampshirePrimary","Tue Feb 09 12:45:50 +0000 2016","jccolyer",40.0730405,"-74.7243235","professional_gap"
"66","So apparently @HillaryClinton &amp; @madeleine hate women the most. Saying if you don't vote for Hilary you'll go to hell. That's not #Sexist???","Tue Feb 09 12:48:33 +0000 2016","ShaharBar85",31.342253,"34.9684285","feminism"
"67","@HillaryClinton  when women have sex with their husbands  they secretly FANTASIZE about being raped by 3 men. I mean  what IS that anyway?","Tue Feb 09 14:29:44 +0000 2016","WhenIDrinkAlone",42.9064225,"-83.633752","violence_against_women"
"68","#ThisWeek @GStephanopoulos asks #HillaryClinton about due-date #abortion? [video  transcript] https://t.co/v7RIvW6Gdo #ProudCatholic #Lent","Tue Feb 09 15:37:00 +0000 2016","MaryChrisMommy",38.0033755,"-79.420865","reproductive_rights"
"69","ABORTION AMERICA'S SCOURGE--Understand the thinking of Gloria Steinman  Hillary (liar)Clinton et al NO MORAL STANDARD. 40K+ babies MURDERED","Tue Feb 09 16:00:04 +0000 2016","godsthundervoic",40.780709,"-73.9685415","reproductive_rights"
"70","Supporting Hillary Clinton &amp; ignoring all the damage she has done   just because you want a female President  is the definition of feminism.","Tue Feb 09 16:33:05 +0000 2016","iiLineback",39.7795625,"-86.1429225","feminism"
"71","Why are any of the young men supporting for #BernieSanders ~ the sexism is palpable.   @HillaryClinton","Tue Feb 09 16:37:44 +0000 2016","armanwalker",34.0207895,"-118.4119065","feminism"
"72","I'm quite sick of Hillary Clinton's brand of feminism.","Tue Feb 09 16:45:14 +0000 2016","kwulfff",38.898603,"-77.0143985","feminism"
"73","Sick of the Clintons calling everyone sexist but women who don't support Hillary are ignorant and Bill has a history of sexual assault.","Tue Feb 09 17:30:24 +0000 2016","lalaalauren",38.898603,"-77.0143985","feminism"
"74","@DemGalInBlueSea #DoubleStandards He's crass! It's a man's world but that's going to change in Nov. 016 when @Hillary is elected POTUS45!","Tue Feb 09 17:54:20 +0000 2016","ShirlsAdams",38.0033755,"-79.420865","feminism"
"75","When the #HillaryClinton cult gets desperate  time to invoke sexism *while awkwardly being dismissive of racism.  https://t.co/pE433y6asV","Tue Feb 09 18:04:45 +0000 2016","Texican_Miguel",32.8198585,"-96.7617535","feminism"
"76","@CNNPolitics @HillaryClinton @kellywallacetv Plus the hypocrisy and misogyny from her supporters is pretty astounding (Steinem  really?).","Tue Feb 09 18:51:04 +0000 2016","GotKidsNoPeace",40.780709,"-73.9685415","men"
"77","@bmarsh31 @HillaryClinton @Iqbal704Javed Srsly  that she claims to be a feminist just flies in the face of logic.","Tue Feb 09 19:03:39 +0000 2016","GotKidsNoPeace",40.780709,"-73.9685415","feminism"
"78","@CecileRichards @HillaryClinton #WomenforHillary #IStandwithPP https://t.co/KDLolQ3EkL","Tue Feb 09 19:06:23 +0000 2016","ShirlsAdams",38.0033755,"-79.420865","reproductive_rights"
"79","I am sick of the pundits and there criticism of Hillary. How could they possibly know if her campaign is 'joyless'. It's sexist! #Clinton","Tue Feb 09 21:20:01 +0000 2016","Dodsyten",41.4804175,"-81.8030515","feminism"
"80","#BillClinton SexualAssaultVictim Support #DonaldTrump!https://t.co/8PwkRvwti5 #millennials #independent #business https://t.co/HbcTRWD7Ky","Tue Feb 09 21:32:12 +0000 2016","sunnyherring1",40.0048655,"-75.117998","violence_against_women"
"81","my three year old asked  'daddy  isn't the young women vs old women narrative plaguing Hillary Clinton intrinsically sexist?'","Tue Feb 09 21:35:03 +0000 2016","thetomzone",40.780709,"-73.9685415","feminism"
"82","CNN Op-Ed Calls Out Media 'Sexism' Regarding Attacks On Hillary Clinton's Voice https://t.co/9BXaQxdv7j","Tue Feb 09 21:41:28 +0000 2016","oconnellaboo",40.6708795,"-73.8311875","feminism"
"83","#603forHRC #NHPrimary @HillaryClinton  #ImWithHer   As known as white cowards. Proper word for a sexist  https://t.co/Yk3Xiszdmu","Tue Feb 09 21:56:38 +0000 2016","DayJojo771980",38.8885185,"-104.789327","feminism"
"84","@stylistkavin @Wary12 @HillaryClinton Don't know why media puts so much stock in IA/NH when most states have a much more diverse population.","Tue Feb 09 22:47:13 +0000 2016","PhiKapMom",35.222301,"-97.4451735","intersectionality"
"85","From @EverettMaroon: How sexism colors public perception of Hillary Clinton in many ways. https://t.co/Ps8rJA9LJE https://t.co/KNBsp1Ojjp","Wed Feb 10 00:44:42 +0000 2016","sarahmirk",45.536402,"-122.630908","feminism"
"86","@katewilloughby8 I'm not surprised. The deep hatred of Hillary on the right and the hard left is palpable. It's also  I feel  deeply sexist.","Wed Feb 10 02:05:44 +0000 2016","SkylarJordan",41.9247185,"-87.697606","feminism"
"87","Oh Hillary  shut up. You were talking all that mess. Husband calling Bernie  Sexist. #ByeStacey https://t.co/KiqfooLwUY","Wed Feb 10 02:13:32 +0000 2016","Precious8MyFood",32.4405105,"-81.8005785","feminism"
"88","@nprpolitics @foxnewspolitics @CNBCPolitics   Hillary has nothing but aging feminazi support and should withdraw tomorrow!","Wed Feb 10 04:03:01 +0000 2016","b2burns",33.5528625,"-112.1246765","feminism"
"89","@meetthepress  Hillary has nothing but aging feminazi support and should withdraw tomorrow!","Wed Feb 10 04:08:14 +0000 2016","b2burns",33.5528625,"-112.1246765","feminism"
